# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	1232
#@/user_id	0d90e8fd-639f-4407-8fdd-d537bd562bce
a r c h 	Arch	c=1 d=0.770153 t=1232
a r c h linux 	ArchLinux	c=2 d=0.763379 t=1232
an zhuang 	安裝	c=2 d=1.99005 t=212
ba 	吧	c=0 d=0.1 t=1218
bai du 	百度	c=1 d=1 t=889
bai fei dai xing 	百廢待興	c=1 d=1 t=314
bai ke 	百科	c=2 d=1.98511 t=893
bai se 	白色	c=2 d=1.8781 t=261
ban 	坂	c=1 d=1 t=247
bang yang 	榜樣	c=0 d=0.1 t=465
bao di 	寶地	c=1 d=1 t=385
bao kuo 	包括	c=2 d=1.73345 t=642
bei 	輩	c=2 d=1.99501 t=471
bei shang 	悲傷	c=1 d=1 t=119
ben de 	本地	c=1 d=1 t=264
ben wen 	本文	c=2 d=1.37531 t=1056
ben zhi shang 	本質上	c=1 d=1 t=1132
bi qu jian 	閉區間	c=1 d=0.715338 t=1232
bian cheng yu yan 	編程語言	c=1 d=1 t=647
bian liang 	變量	c=1 d=1 t=726
bian ping 	扁平	c=1 d=1 t=237
biao da 	表達	c=10 d=2.48987 t=1112
biao da fang shi 	表達方式	c=1 d=1 t=865
biao da shi 	表達式	c=2 d=1.15412 t=630
biao shi 	表示	c=12 d=2.80485 t=1187
biao shi fang fa 	表示方法	c=1 d=1 t=641
biao shu 	表述	c=1 d=1 t=980
biao zhun 	標準	c=4 d=2.22924 t=1064
bing 	並	c=3 d=2.79276 t=423
bing bu 	並不	c=1 d=1 t=1040
bo duo ye jie yi 	波多野結衣	c=1 d=1 t=125
bo fang 	播放	c=1 d=1 t=230
bo fang qi 	播放器	c=2 d=2.03091 t=234
bu 	步	c=1 d=1 t=748
bu cuo 	不錯	c=1 d=1 t=97
bu duan 	不斷	c=1 d=1 t=486
bu dui 	不對	c=1 d=1 t=763
bu fang bian 	不方便	c=1 d=1 t=972
bu gao 	不高	c=1 d=1 t=141
